date,ACM1,ACM0
Thu Mar  4 11:50:03 2021,    pH:6.75 ,    pH:6.45 
Thu Mar  4 11:55:04 2021,    pH:6.74 ,    pH:6.45 
Thu Mar  4 12:00:06 2021,    pH:6.73 ,    pH:6.44 
Thu Mar  4 12:05:08 2021,    pH:6.74 ,    pH:6.43 
Thu Mar  4 12:10:10 2021,    pH:6.78 ,    pH:6.46 
Thu Mar  4 12:15:12 2021,    pH:6.73 ,    pH:6.44 
Thu Mar  4 12:20:13 2021,    pH:6.75 ,    pH:6.43 
Thu Mar  4 12:25:15 2021,    pH:6.73 ,    pH:6.43 
Thu Mar  4 12:30:17 2021,    pH:6.74 ,    pH:6.45 
Thu Mar  4 12:35:19 2021,    pH:6.72 ,    pH:6.44 
Thu Mar  4 12:40:21 2021,    pH:6.74 ,    pH:6.41 
Thu Mar  4 12:45:22 2021,    pH:6.76 ,    pH:6.44 
Thu Mar  4 12:50:24 2021,    pH:6.74 ,    pH:6.45 
Thu Mar  4 12:55:26 2021,    pH:6.77 ,    pH:6.46 
Thu Mar  4 13:00:28 2021,    pH:6.80 ,    pH:6.50 
Thu Mar  4 13:05:30 2021,    pH:6.76 ,    pH:6.48 
Thu Mar  4 13:10:31 2021,    pH:6.75 ,    pH:6.47 
Thu Mar  4 13:15:33 2021,    pH:6.74 ,    pH:6.47 
Thu Mar  4 13:20:35 2021,    pH:6.77 ,    pH:6.48 
Thu Mar  4 13:25:37 2021,    pH:6.77 ,    pH:6.47 
Thu Mar  4 13:30:39 2021,    pH:6.77 ,    pH:6.47 
Thu Mar  4 13:35:40 2021,    pH:6.78 ,    pH:6.48 
Thu Mar  4 13:40:42 2021,    pH:6.76 ,    pH:6.46 
Thu Mar  4 13:45:44 2021,    pH:6.71 ,    pH:6.46 
Thu Mar  4 13:50:46 2021,    pH:6.80 ,    pH:6.49 
Thu Mar  4 13:55:47 2021,    pH:6.72 ,    pH:6.46 
Thu Mar  4 14:00:49 2021,    pH:6.72 ,    pH:6.45 
Thu Mar  4 14:05:51 2021,    pH:6.71 ,    pH:6.46 
Thu Mar  4 14:10:53 2021,    pH:6.76 ,    pH:6.49 
Thu Mar  4 14:15:55 2021,    pH:6.77 ,    pH:6.46 
Thu Mar  4 14:20:56 2021,    pH:6.72 ,    pH:6.45 
Thu Mar  4 14:25:58 2021,    pH:6.73 ,    pH:6.46 
Thu Mar  4 14:31:00 2021,    pH:6.70 ,    pH:6.44 
Thu Mar  4 14:36:02 2021,    pH:6.74 ,    pH:6.45 
Thu Mar  4 14:41:04 2021,    pH:6.74 ,    pH:6.44 
Thu Mar  4 14:46:05 2021,    pH:6.77 ,    pH:6.48 
Thu Mar  4 14:51:07 2021,    pH:6.70 ,    pH:6.45 
Thu Mar  4 14:56:09 2021,    pH:6.77 ,    pH:6.46 
Thu Mar  4 15:01:11 2021,    pH:6.76 ,    pH:6.45 
Thu Mar  4 15:06:13 2021,    pH:6.71 ,    pH:6.44 
Thu Mar  4 15:11:14 2021,    pH:6.73 ,    pH:6.47 
Thu Mar  4 15:16:16 2021,    pH:6.76 ,    pH:6.46 
Thu Mar  4 15:21:18 2021,    pH:6.77 ,    pH:6.46 
Thu Mar  4 15:26:20 2021,    pH:6.75 ,    pH:6.48 
