date,ACM1,ACM0
Tue Mar  9 12:36:03 2021,4.87,4.55
Tue Mar  9 12:42:05 2021,4.90,4.52
Tue Mar  9 12:48:07 2021,4.87,4.50
Tue Mar  9 12:54:09 2021,4.90,4.52
Tue Mar  9 13:00:10 2021,4.90,4.50
Tue Mar  9 13:06:12 2021,4.87,4.47
Tue Mar  9 13:12:14 2021,4.87,4.47
Tue Mar  9 13:18:16 2021,4.90,4.47
Tue Mar  9 13:24:17 2021,4.87,4.50
Tue Mar  9 13:30:19 2021,4.87,4.50
Tue Mar  9 13:36:21 2021,4.93,4.52
Tue Mar  9 13:42:22 2021,4.90,4.50
Tue Mar  9 13:48:24 2021,4.87,4.50
Tue Mar  9 13:54:26 2021,4.90,4.50
Tue Mar  9 14:00:28 2021,4.90,4.47
Tue Mar  9 14:06:29 2021,4.90,4.47
Tue Mar  9 14:12:31 2021,4.90,4.47
Tue Mar  9 14:18:33 2021,4.90,4.44
Tue Mar  9 14:24:35 2021,4.90,4.44
Tue Mar  9 14:30:36 2021,4.90,4.44
Tue Mar  9 14:36:38 2021,4.84,4.44
Tue Mar  9 14:42:40 2021,4.90,4.41
Tue Mar  9 14:48:41 2021,4.90,4.41
Tue Mar  9 14:54:43 2021,4.90,4.41
Tue Mar  9 15:00:45 2021,4.87,4.38
Tue Mar  9 15:06:47 2021,4.90,4.38
Tue Mar  9 15:12:48 2021,4.87,4.41
Tue Mar  9 15:18:50 2021,4.87,4.38
Tue Mar  9 15:24:52 2021,4.87,4.38
Tue Mar  9 15:30:54 2021,4.87,4.38
Tue Mar  9 15:36:55 2021,4.87,4.41
Tue Mar  9 15:42:57 2021,4.87,4.38
Tue Mar  9 15:48:59 2021,4.87,4.38
Tue Mar  9 15:55:01 2021,4.87,4.38
Tue Mar  9 16:01:02 2021,4.87,4.38
Tue Mar  9 16:07:04 2021,4.87,4.38
Tue Mar  9 16:13:06 2021,4.87,4.38
Tue Mar  9 16:19:08 2021,4.90,4.41
Tue Mar  9 16:25:09 2021,4.90,4.41
Tue Mar  9 16:31:11 2021,4.90,4.41
Tue Mar  9 16:37:13 2021,4.87,4.41
Tue Mar  9 16:43:15 2021,4.87,4.41
Tue Mar  9 16:49:16 2021,4.87,4.38
Tue Mar  9 16:55:18 2021,4.87,4.38
Tue Mar  9 17:01:20 2021,4.84,4.41
Tue Mar  9 17:07:21 2021,4.87,4.41
Tue Mar  9 17:13:23 2021,4.84,4.38
Tue Mar  9 17:19:25 2021,4.84,4.41
Tue Mar  9 17:25:27 2021,4.87,4.41
Tue Mar  9 17:31:28 2021,4.87,4.44
Tue Mar  9 17:37:30 2021,4.87,4.44
Tue Mar  9 17:43:32 2021,4.84,4.41
Tue Mar  9 17:49:34 2021,4.82,4.38
Tue Mar  9 17:55:35 2021,4.87,4.44
Tue Mar  9 18:01:37 2021,4.84,4.44
Tue Mar  9 18:07:39 2021,4.84,4.41
Tue Mar  9 18:13:41 2021,4.84,4.41
Tue Mar  9 18:19:42 2021,4.84,4.44
Tue Mar  9 18:25:44 2021,4.79,4.41
Tue Mar  9 18:31:46 2021,4.70,4.26
Tue Mar  9 18:37:47 2021,4.82,4.44
Tue Mar  9 18:43:49 2021,4.82,4.44
Tue Mar  9 18:49:51 2021,4.82,4.44
Tue Mar  9 18:55:53 2021,4.82,4.44
Tue Mar  9 19:01:54 2021,4.84,4.47
Tue Mar  9 19:07:56 2021,4.82,4.44
Tue Mar  9 19:13:58 2021,4.82,4.44
Tue Mar  9 19:19:59 2021,4.82,4.44
Tue Mar  9 19:26:01 2021,4.79,4.47
Tue Mar  9 19:32:03 2021,4.79,4.47
Tue Mar  9 19:38:05 2021,4.82,4.50
Tue Mar  9 19:44:06 2021,4.82,4.47
Tue Mar  9 19:50:08 2021,4.82,4.47
Tue Mar  9 19:56:10 2021,4.82,4.50
Tue Mar  9 20:02:12 2021,4.79,4.47
Tue Mar  9 20:08:13 2021,4.79,4.50
Tue Mar  9 20:14:15 2021,4.82,4.52
Tue Mar  9 20:20:17 2021,4.79,4.50
Tue Mar  9 20:26:18 2021,4.79,4.50
Tue Mar  9 20:32:20 2021,4.82,4.50
Tue Mar  9 20:38:22 2021,4.79,4.50
Tue Mar  9 20:44:23 2021,4.82,4.50
Tue Mar  9 20:50:25 2021,4.82,4.50
Tue Mar  9 20:56:27 2021,4.79,4.47
Tue Mar  9 21:02:29 2021,4.79,4.47
Tue Mar  9 21:08:30 2021,4.79,4.44
Tue Mar  9 21:14:32 2021,4.79,4.44
Tue Mar  9 21:20:34 2021,4.79,4.44
Tue Mar  9 21:26:36 2021,4.79,4.50
Tue Mar  9 21:32:37 2021,4.79,4.44
Tue Mar  9 21:38:39 2021,4.76,4.41
Tue Mar  9 21:44:41 2021,4.67,4.41
Tue Mar  9 21:50:43 2021,4.76,4.38
Tue Mar  9 21:56:44 2021,4.76,4.38
Tue Mar  9 22:02:46 2021,4.79,4.41
Tue Mar  9 22:08:48 2021,4.76,4.35
Tue Mar  9 22:14:50 2021,4.76,4.38
Tue Mar  9 22:20:51 2021,4.76,4.38
Tue Mar  9 22:26:53 2021,4.79,4.41
Tue Mar  9 22:32:55 2021,4.76,4.41
Tue Mar  9 22:38:57 2021,4.73,4.55
Tue Mar  9 22:44:58 2021,4.73,4.70
Tue Mar  9 22:51:00 2021,4.76,4.73
Tue Mar  9 22:57:02 2021,4.76,4.76
Tue Mar  9 23:03:03 2021,4.76,4.73
Tue Mar  9 23:09:05 2021,4.76,4.73
Tue Mar  9 23:15:07 2021,4.76,4.67
Tue Mar  9 23:21:09 2021,4.76,4.67
Tue Mar  9 23:27:10 2021,4.76,4.67
Tue Mar  9 23:33:12 2021,4.79,4.70
Tue Mar  9 23:39:14 2021,4.73,4.64
Tue Mar  9 23:45:16 2021,4.79,4.64
Tue Mar  9 23:51:17 2021,4.79,4.64
Tue Mar  9 23:57:19 2021,4.76,4.61
Wed Mar 10 00:03:21 2021,4.76,4.61
Wed Mar 10 00:09:23 2021,4.76,4.61
Wed Mar 10 00:15:24 2021,4.76,4.61
Wed Mar 10 00:21:26 2021,4.76,4.61
Wed Mar 10 00:27:28 2021,4.76,4.58
Wed Mar 10 00:33:29 2021,4.76,4.58
Wed Mar 10 00:39:31 2021,4.76,4.58
Wed Mar 10 00:45:33 2021,4.76,4.64
Wed Mar 10 00:51:35 2021,4.79,4.61
Wed Mar 10 00:57:36 2021,4.79,4.64
Wed Mar 10 01:03:38 2021,4.76,4.61
Wed Mar 10 01:09:40 2021,4.76,4.61
Wed Mar 10 01:15:42 2021,4.76,4.61
Wed Mar 10 01:21:43 2021,4.76,4.61
Wed Mar 10 01:27:45 2021,4.76,4.61
Wed Mar 10 01:33:47 2021,4.76,4.61
Wed Mar 10 01:39:49 2021,4.76,4.64
Wed Mar 10 01:45:50 2021,4.76,4.61
Wed Mar 10 01:51:52 2021,4.73,4.61
Wed Mar 10 01:57:54 2021,4.76,4.64
Wed Mar 10 02:03:56 2021,4.76,4.61
Wed Mar 10 02:09:57 2021,4.76,4.61
Wed Mar 10 02:15:59 2021,4.76,4.61
Wed Mar 10 02:22:01 2021,4.76,4.61
Wed Mar 10 02:28:02 2021,4.76,4.64
Wed Mar 10 02:34:04 2021,4.73,4.64
Wed Mar 10 02:40:06 2021,4.73,4.64
Wed Mar 10 02:46:08 2021,4.73,4.64
Wed Mar 10 02:52:09 2021,4.73,4.64
Wed Mar 10 02:58:11 2021,4.73,4.64
Wed Mar 10 03:04:13 2021,4.70,4.64
Wed Mar 10 03:10:15 2021,4.73,4.67
Wed Mar 10 03:16:16 2021,4.73,4.64
Wed Mar 10 03:22:18 2021,4.73,4.61
Wed Mar 10 03:28:20 2021,4.73,4.64
Wed Mar 10 03:34:22 2021,4.73,4.64
Wed Mar 10 03:40:23 2021,4.67,4.61
Wed Mar 10 03:46:25 2021,4.58,4.47
Wed Mar 10 03:52:27 2021,4.73,4.64
Wed Mar 10 03:58:28 2021,4.73,4.64
Wed Mar 10 04:04:30 2021,4.73,4.67
Wed Mar 10 04:10:32 2021,4.70,4.64
Wed Mar 10 04:16:34 2021,4.73,4.64
Wed Mar 10 04:22:35 2021,4.70,4.64
Wed Mar 10 04:28:37 2021,4.73,4.70
Wed Mar 10 04:34:39 2021,4.70,4.67
Wed Mar 10 04:40:40 2021,4.70,4.67
Wed Mar 10 04:46:42 2021,4.73,4.67
Wed Mar 10 04:52:44 2021,4.70,4.67
Wed Mar 10 04:58:45 2021,4.76,4.70
Wed Mar 10 05:04:47 2021,4.64,4.67
Wed Mar 10 05:10:49 2021,4.73,4.67
Wed Mar 10 05:16:51 2021,4.70,4.67
Wed Mar 10 05:22:52 2021,4.73,4.70
Wed Mar 10 05:28:54 2021,4.70,4.70
Wed Mar 10 05:34:56 2021,4.73,4.67
Wed Mar 10 05:40:57 2021,4.73,4.67
Wed Mar 10 05:46:59 2021,4.76,4.73
Wed Mar 10 05:53:01 2021,4.73,4.67
Wed Mar 10 05:59:03 2021,4.73,4.70
Wed Mar 10 06:05:04 2021,4.73,4.70
Wed Mar 10 06:11:06 2021,4.73,4.67
Wed Mar 10 06:17:08 2021,4.70,4.67
Wed Mar 10 06:23:09 2021,4.67,4.70
Wed Mar 10 06:29:11 2021,4.73,4.70
Wed Mar 10 06:35:13 2021,4.70,4.70
Wed Mar 10 06:41:15 2021,4.73,4.73
Wed Mar 10 06:47:16 2021,4.73,4.70
Wed Mar 10 06:53:18 2021,4.73,4.70
Wed Mar 10 06:59:20 2021,4.70,4.67
Wed Mar 10 07:05:22 2021,4.73,4.67
Wed Mar 10 07:11:23 2021,4.73,4.70
Wed Mar 10 07:17:25 2021,4.70,4.70
Wed Mar 10 07:23:27 2021,4.73,4.70
Wed Mar 10 07:29:28 2021,4.70,4.67
Wed Mar 10 07:35:30 2021,4.73,4.67
Wed Mar 10 07:41:32 2021,4.73,4.67
Wed Mar 10 07:47:34 2021,4.73,4.64
Wed Mar 10 07:53:35 2021,4.70,4.61
Wed Mar 10 07:59:37 2021,4.70,4.58
Wed Mar 10 08:05:39 2021,4.70,4.55
Wed Mar 10 08:11:41 2021,4.70,4.55
Wed Mar 10 08:17:42 2021,4.70,4.55
Wed Mar 10 08:23:44 2021,4.70,4.55
Wed Mar 10 08:29:46 2021,4.70,4.52
Wed Mar 10 08:35:48 2021,4.70,4.52
Wed Mar 10 08:41:49 2021,4.73,4.55
Wed Mar 10 08:47:51 2021,4.73,4.52
Wed Mar 10 08:53:53 2021,4.73,4.52
Wed Mar 10 08:59:55 2021,4.73,4.52
Wed Mar 10 09:05:56 2021,4.70,4.50
Wed Mar 10 09:11:58 2021,4.70,4.52
Wed Mar 10 09:18:00 2021,4.70,4.50
Wed Mar 10 09:24:01 2021,4.70,4.50
Wed Mar 10 09:30:03 2021,4.70,4.47
Wed Mar 10 09:36:05 2021,4.70,4.44
Wed Mar 10 09:42:07 2021,4.70,4.44
Wed Mar 10 09:48:08 2021,4.70,4.44
Wed Mar 10 09:54:10 2021,4.73,4.41
Wed Mar 10 10:00:12 2021,4.70,4.41
Wed Mar 10 10:06:14 2021,4.70,4.44
Wed Mar 10 10:12:15 2021,4.73,4.47
Wed Mar 10 10:18:17 2021,4.64,4.44
Wed Mar 10 10:24:19 2021,4.70,4.50
Wed Mar 10 10:30:20 2021,4.73,4.50
Wed Mar 10 10:36:22 2021,4.70,4.47
Wed Mar 10 10:42:24 2021,4.70,4.44
Wed Mar 10 10:48:26 2021,4.70,4.44
Wed Mar 10 10:54:27 2021,4.70,4.44
Wed Mar 10 11:00:29 2021,4.70,4.44
Wed Mar 10 11:06:31 2021,4.70,4.44
Wed Mar 10 11:12:33 2021,4.70,4.41
Wed Mar 10 11:18:34 2021,4.73,4.44
Wed Mar 10 11:24:36 2021,4.70,4.41
Wed Mar 10 11:30:38 2021,4.70,4.41
Wed Mar 10 11:36:40 2021,4.70,4.38
Wed Mar 10 11:42:41 2021,4.67,4.38
Wed Mar 10 11:48:43 2021,4.70,4.38
Wed Mar 10 11:54:45 2021,4.70,4.35
Wed Mar 10 12:00:46 2021,4.73,4.35
Wed Mar 10 12:06:48 2021,4.70,4.38
Wed Mar 10 12:12:50 2021,4.73,4.38
Wed Mar 10 12:18:52 2021,4.70,4.32
Wed Mar 10 12:24:53 2021,4.70,4.32
Wed Mar 10 12:30:55 2021,4.70,4.32
Wed Mar 10 12:36:57 2021,4.70,4.29
