  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:14 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    8 ?        I<     0:00 [mm_percpu_wq]
    9 ?        S      0:05 [ksoftirqd/0]
   10 ?        I      0:25 [rcu_sched]
   11 ?        S      0:00 [migration/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [migration/1]
   15 ?        S      0:11 [ksoftirqd/1]
   18 ?        S      0:00 [cpuhp/2]
   19 ?        S      0:00 [migration/2]
   20 ?        S      0:00 [ksoftirqd/2]
   23 ?        S      0:00 [cpuhp/3]
   24 ?        S      0:00 [migration/3]
   25 ?        S      0:00 [ksoftirqd/3]
   28 ?        S      0:00 [kdevtmpfs]
   29 ?        I<     0:00 [netns]
   32 ?        S      0:00 [kauditd]
   33 ?        S      0:00 [khungtaskd]
   34 ?        S      0:00 [oom_reaper]
   35 ?        I<     0:00 [writeback]
   36 ?        S      0:00 [kcompactd0]
   54 ?        I<     0:00 [kblockd]
   55 ?        I<     0:00 [blkcg_punt_bio]
   56 ?        S      0:00 [watchdogd]
   58 ?        I<     0:00 [rpciod]
   60 ?        I<     0:00 [xprtiod]
   61 ?        S      0:00 [kswapd0]
   62 ?        I<     0:00 [nfsiod]
   64 ?        I<     0:00 [iscsi_eh]
   65 ?        I<     0:00 [dwc_otg]
   66 ?        I<     0:00 [DWC Notificatio]
   68 ?        S<     0:00 [vchiq-slot/0]
   69 ?        S<     0:00 [vchiq-recy/0]
   70 ?        S<     0:00 [vchiq-sync/0]
   71 ?        S      0:00 [vchiq-keep/0]
   72 ?        S<     0:00 [SMIO]
   75 ?        I<     0:00 [mmc_complete]
   76 ?        I<     0:01 [kworker/1:1H-kblockd]
   77 ?        I<     0:13 [kworker/0:1H-kblockd]
   80 ?        S      0:07 [jbd2/mmcblk0p2-]
   81 ?        I<     0:00 [ext4-rsv-conver]
   82 ?        I<     0:02 [kworker/3:1H-kblockd]
   83 ?        I<     0:00 [ipv6_addrconf]
  101 ?        S      0:00 [irq/166-usb-001]
  104 ?        Ss     0:14 /lib/systemd/systemd-journald
  114 ?        I<     0:02 [kworker/2:2H-kblockd]
  144 ?        Ss     0:02 /lib/systemd/systemd-udevd
  162 ?        S<     0:00 [SMIO]
  178 ?        I<     0:00 [mmal-vchiq]
  182 ?        I<     0:00 [mmal-vchiq]
  183 ?        I<     0:00 [mmal-vchiq]
  184 ?        I<     0:00 [mmal-vchiq]
  213 ?        I<     0:00 [cfg80211]
  218 ?        I<     0:00 [brcmf_wq/mmc1:0]
  221 ?        S      0:27 [brcmf_wdog/mmc1]
  286 ?        Ssl    0:02 /lib/systemd/systemd-timesyncd
  327 ?        SNs    0:00 /usr/sbin/alsactl -E HOME=/run/alsa -s -n 19 -c rdaemon
  333 ?        Ss     0:01 /usr/sbin/cron -f
  336 ?        Ssl    0:04 /usr/sbin/rsyslogd -n -iNONE
  337 ?        SLsl   7:02 /usr/sbin/rngd -r /dev/hwrng
  338 ?        Ssl    0:01 /usr/lib/udisks2/udisksd
  354 ?        Ss    16:42 avahi-daemon: running [raspberrypi.local]
