date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Fri Feb  5 00:00:41 2021,7.069,6.956,7.258,7.185
Fri Feb  5 00:05:41 2021,7.070,6.960,7.261,7.185
Fri Feb  5 00:10:41 2021,7.069,6.957,7.259,7.189
Fri Feb  5 00:15:41 2021,7.070,6.958,7.262,7.190
Fri Feb  5 00:20:41 2021,7.073,6.960,7.263,7.190
Fri Feb  5 00:25:41 2021,7.078,6.964,7.265,7.191
Fri Feb  5 00:30:41 2021,7.081,6.964,7.265,7.194
Fri Feb  5 00:35:41 2021,7.085,6.968,7.268,7.194
Fri Feb  5 00:40:42 2021,7.086,6.968,7.270,7.195
Fri Feb  5 00:45:42 2021,7.086,6.971,7.268,7.196
Fri Feb  5 00:50:42 2021,7.085,6.970,7.262,7.199
Fri Feb  5 00:55:42 2021,7.082,6.971,7.267,7.197
Fri Feb  5 01:00:42 2021,7.083,6.968,7.264,7.197
Fri Feb  5 01:05:42 2021,7.082,6.968,7.266,7.200
Fri Feb  5 01:10:43 2021,7.082,6.973,7.265,7.200
Fri Feb  5 01:15:44 2021,7.085,6.978,7.265,7.199
Fri Feb  5 01:20:44 2021,7.084,6.974,7.265,7.200
Fri Feb  5 01:25:45 2021,7.085,6.802,7.264,7.201
Fri Feb  5 01:30:43 2021,7.086,6.818,7.267,7.203
Fri Feb  5 01:35:43 2021,7.088,6.826,7.262,7.206
Fri Feb  5 01:40:43 2021,7.088,6.839,7.263,7.204
Fri Feb  5 01:45:43 2021,7.091,6.851,7.261,7.203
Fri Feb  5 01:50:43 2021,7.089,6.864,7.261,7.204
Fri Feb  5 01:55:34 2021,7.089,6.872,203
Fri Feb  5 02:00:43 2021,7.093,6.881,7.262,7.203
Fri Feb  5 02:05:43 2021,7.074,6.890,7.257,7.206
Fri Feb  5 02:10:43 2021,7.096,6.896,7.255,7.205
Fri Feb  5 02:15:43 2021,7.098,6.906,7.256,7.204
Fri Feb  5 02:20:44 2021,7.097,6.912,7.256,7.206
Fri Feb  5 02:25:44 2021,7.096,6.918,7.254,7.206
Fri Feb  5 02:30:44 2021,7.094,6.926,7.255,7.207
Fri Feb  5 02:35:44 2021,7.090,6.932,7.253,7.207
Fri Feb  5 02:40:44 2021,7.093,6.943,7.255,7.209
Fri Feb  5 02:45:44 2021,7.097,6.953,7.256,7.211
Fri Feb  5 02:50:45 2021,7.099,6.954,7.259,7.211
Fri Feb  5 02:55:44 2021,7.103,6.960,7.256,7.213
Fri Feb  5 03:00:44 2021,7.104,6.961,7.256,7.213
Fri Feb  5 03:05:44 2021,7.103,6.961,7.259,7.214
Fri Feb  5 03:10:44 2021,7.106,6.965,7.258,7.217
Fri Feb  5 03:15:44 2021,7.106,6.968,7.263,7.216
Fri Feb  5 03:20:44 2021,7.106,6.973,7.263,7.218
Fri Feb  5 03:25:45 2021,7.110,6.980,7.266,7.218
Fri Feb  5 03:30:27 2021,7.110,6.979,7.267,7.222
Fri Feb  5 03:35:45 2021,7.108,6.978,7.268,7.224
Fri Feb  5 03:40:28 2021,7.111,6.983,7.265,7.225
Fri Feb  5 03:45:45 2021,7.110,6.991,7.269,7.229
Fri Feb  5 03:50:29 2021,7.114,6.995,7.271,7.229
Fri Feb  5 03:55:29 2021,7.117,6.995,7.272,7.232
Fri Feb  5 04:00:45 2021,7.116,6.999,7.273,7.230
Fri Feb  5 04:05:30 2021,7.119,7.000,7.271,7.229
Fri Feb  5 04:10:45 2021,7.119,7.002,7.271,7.231
Fri Feb  5 04:15:31 2021,7.121,7.003,7.271,7.230
Fri Feb  5 04:20:32 2021,7.121,7.008,7.273,7.233
Fri Feb  5 04:25:32 2021,7.120,7.009,7.273,7.235
Fri Feb  5 04:30:32 2021,7.121,7.009,7.273,7.237
Fri Feb  5 04:35:33 2021,7.124,7.009,7.270,7.237
Fri Feb  5 04:40:33 2021,7.126,7.011,7.273,7.237
Fri Feb  5 04:45:34 2021,7.124,7.013,7.277,7.239
Fri Feb  5 04:50:34 2021,7.124,7.015,7.279,7.243
Fri Feb  5 04:55:35 2021,7.129,7.024,7.277,7.246
Fri Feb  5 05:00:35 2021,7.132,7.019,7.277,7.243
Fri Feb  5 05:05:36 2021,7.131,7.016,7.280,7.243
Fri Feb  5 05:10:36 2021,7.130,7.022,7.280,7.244
Fri Feb  5 05:15:37 2021,7.134,7.023,7.279,7.252
Fri Feb  5 05:20:37 2021,7.131,7.028,7.279,7.253
Fri Feb  5 05:25:38 2021,7.136,7.030,7.277,7.250
Fri Feb  5 05:30:38 2021,7.135,7.030,7.279,7.249
